CustomerKey;Prefix;FirstName;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;AnnualIncome;TotalChildren;EducationLevel;Occupation;HomeOwner
11044;MR.;ADAM;FLORES;24.05.1949;M;M;adam10@gmail.com;20000;2;Partial High School;Clerical;Y
11045;MR.;LEONARD;NARA;19.05.1950;S;M;leonard18@gmail.com;30000;3;High School;Skilled Manual;N
11046;MRS.;CHRISTINE;YUAN;22.03.1950;M;F;christine4@gmail.com;30000;3;High School;Skilled Manual;Y
11047;MRS.;JACLYN;LU;27.02.1950;M;F;jaclyn12@gmail.com;30000;3;High School;Skilled Manual;N
11048;MR.;JEREMY;POWELL;22.11.1950;M;M;jeremy26@gmail.com;30000;3;High School;Skilled Manual;Y
11049;MS.;CAROL;RAI;18.07.1980;S;F;carol8@gmail.com;40000;0;Partial High School;Clerical;Y
11050;MR.;ALAN;ZHENG;7.09.1951;M;M;alan23@gmail.com;30000;3;High School;Skilled Manual;Y
11051;MR.;DANIEL;JOHNSON;4.08.1951;S;M;daniel18@gmail.com;30000;3;High School;Skilled Manual;N
11052;MRS.;HEIDI;LOPEZ;7.08.1951;S;F;heidi19@gmail.com;40000;2;Partial College;Clerical;N
11053;MS.;ANA;PRICE;20.08.1980;M;F;ana0@gmail.com;60000;0;Partial College;Skilled Manual;N
11054;MRS.;DEANNA;MUNOZ;10.03.1952;M;F;deanna33@gmail.com;40000;2;Partial College;Skilled Manual;Y
11055;MR.;GILBERT;RAJE;5.03.1952;M;M;gilbert35@gmail.com;40000;2;Partial College;Skilled Manual;Y
11056;MRS.;MICHELE;NATH;3.04.1953;M;F;michele19@gmail.com;40000;3;Partial College;Skilled Manual;Y
11057;MR.;CARL;ANDERSEN;12.10.1953;M;M;carl12@gmail.com;70000;2;Graduate Degree;Management;Y
11058;MR.;MARC;DIAZ;27.04.1954;M;M;marc6@gmail.com;80000;2;Partial College;Skilled Manual;Y
11059;MRS.;ASHLEE;ANDERSEN;1.04.1954;S;F;ashlee19@gmail.com;80000;2;Partial College;Skilled Manual;Y
11060;MR.;JON;ZHOU;17.03.1954;M;M;jon28@gmail.com;80000;2;Partial College;Skilled Manual;Y
11061;MR.;TODD;GAO;27.02.1954;M;M;todd14@gmail.com;80000;2;Partial College;Skilled Manual;Y
11062;MR.;NOAH;POWELL;2.09.1975;M;M;noah5@gmail.com;40000;0;High School;Skilled Manual;Y
11063;MS.;ANGELA;MURPHY;7.04.1975;S;F;angela41@gmail.com;40000;0;High School;Skilled Manual;Y
11064;MR.;CHASE;REED;7.12.1975;M;M;chase21@gmail.com;40000;0;High School;Skilled Manual;Y
11065;MS.;JESSICA;HENDERSON;9.10.1973;M;F;jessica29@gmail.com;60000;0;Partial College;Skilled Manual;N
11066;MS.;GRACE;BUTLER;27.11.1973;M;F;grace62@gmail.com;70000;0;Partial College;Professional;Y
11067;MR.;CALEB;CARTER;25.09.1976;S;M;caleb40@gmail.com;60000;0;Partial College;Professional;Y
11068;MRS.;TIFFANY;LIANG;23.09.1955;S;F;tiffany17@gmail.com;80000;2;High School;Skilled Manual;Y
11069;MRS.;CAROLYN;NAVARRO;21.09.1955;S;F;carolyn30@gmail.com;80000;2;High School;Skilled Manual;N
11070;MR.;WILLIE;RAJI;5.04.1955;M;M;willie40@gmail.com;80000;2;High School;Skilled Manual;Y
11071;MRS.;LINDA;SERRANO;26.06.1955;S;F;linda31@gmail.com;80000;2;High School;Skilled Manual;Y
11072;MRS.;CASEY;LUO;6.02.1955;S;F;casey6@gmail.com;80000;2;High School;Skilled Manual;N
11073;MRS.;AMY;YE;14.08.1956;S;F;amy16@gmail.com;70000;2;High School;Skilled Manual;Y
11074;MR.;LEVI;ARUN;28.08.1956;S;M;levi6@gmail.com;70000;2;High School;Skilled Manual;Y
11075;MRS.;FELICIA;JIMENEZ;16.11.1957;S;F;felicia4@gmail.com;80000;2;High School;Professional;Y
11076;MR.;BLAKE;ANDERSON;13.07.1957;S;M;blake9@gmail.com;80000;2;High School;Professional;Y
11077;MRS.;LEAH;YE;19.09.1957;S;F;leah7@gmail.com;80000;2;High School;Professional;N
11078;MS.;GINA;MARTIN;10.01.1974;S;F;gina1@gmail.com;40000;0;High School;Professional;N
11079;MR.;DONALD;GONZALEZ;11.03.1959;S;M;donald20@gmail.com;160000;0;Graduate Degree;Management;Y
11080;MR.;DAMIEN;CHANDER;17.07.1959;M;M;damien32@gmail.com;170000;0;Graduate Degree;Management;Y
11081;MRS.;SAVANNAH;BAKER;24.07.1966;M;F;savannah39@gmail.com;120000;2;Bachelors;Management;Y
11082;;ANGELA;BUTLER;4.08.1966;S;NA;angela17@gmail.com;130000;0;Graduate Degree;Management;N
11083;MS.;ALYSSA;COX;15.03.1966;M;F;alyssa37@gmail.com;130000;0;Graduate Degree;Management;Y
11084;MR.;LUCAS;PHILLIPS;12.09.1957;S;M;lucas7@gmail.com;80000;2;Partial High School;Skilled Manual;N
11085;MRS.;EMILY;JOHNSON;19.07.1957;S;F;emily1@gmail.com;60000;2;High School;Professional;N
11086;MR.;RYAN;BROWN;23.12.1957;M;M;ryan43@gmail.com;70000;2;Partial College;Professional;Y
11087;MRS.;TAMARA;LIANG;3.10.1957;M;F;tamara6@gmail.com;70000;3;Partial College;Professional;N
11089;MRS.;ABIGAIL;PRICE;5.02.1957;S;F;abigail25@gmail.com;80000;2;Bachelors;Management;Y
11090;MR.;TREVOR;BRYANT;17.12.1957;S;M;trevor18@gmail.com;90000;2;Partial College;Professional;Y
11091;MR.;DALTON;PEREZ;4.04.1957;M;M;dalton37@gmail.com;90000;2;Partial College;Professional;Y
11092;MRS.;CHERYL;DIAZ;6.05.1967;M;F;cheryl4@gmail.com;90000;2;Bachelors;Professional;Y
11093;MS.;AIMEE;HE;10.09.1967;M;F;aimee13@gmail.com;100000;0;Graduate Degree;Management;Y
11094;MR.;CEDRIC;MA;1.04.1962;S;M;cedric15@gmail.com;70000;1;Partial College;Skilled Manual;N
11095;MR.;CHAD;KUMAR;1.09.1962;S;M;chad9@gmail.com;70000;1;Partial College;Skilled Manual;Y
11096;MR.;ANDRÉS;ANAND;10.08.1962;M;M;andrés18@gmail.com;60000;1;Bachelors;Professional;Y
11097;MR.;EDWIN;NARA;27.10.1961;M;M;edwin39@gmail.com;60000;1;Partial College;Skilled Manual;Y
11098;MRS.;MALLORY;RUBIO;1.05.1961;S;F;mallory7@gmail.com;60000;1;Partial College;Skilled Manual;N
11099;MR.;ADAM;ROSS;8.03.1961;M;M;adam2@gmail.com;60000;1;Bachelors;Professional;Y
11100;MRS.;LATASHA;NAVARRO;15.09.1960;S;F;latasha10@gmail.com;60000;1;Partial College;Skilled Manual;Y
11101;MS.;ABBY;SAI;8.05.1965;S;F;abby4@gmail.com;70000;0;Bachelors;Professional;N
11102;MRS.;JULIA;NELSON;21.04.1965;S;F;julia7@gmail.com;80000;5;Bachelors;Professional;Y
11103;MS.;CASSIE;CHANDE;17.10.1964;S;F;cassie13@gmail.com;70000;0;Bachelors;Professional;Y
11104;MR.;EDGAR;SARA;11.03.1964;M;M;edgar11@gmail.com;70000;0;Bachelors;Professional;N
11105;MS.;CANDACE;FERNANDEZ;28.12.1964;S;F;candace15@gmail.com;70000;0;Bachelors;Professional;N
11106;MR.;JESSIE;LIU;11.09.1964;S;M;jessie9@gmail.com;70000;0;Bachelors;Professional;N
11107;MRS.;BIANCA;LIN;9.09.1959;M;F;bianca7@gmail.com;90000;1;Bachelors;Professional;Y
11108;MS.;KARI;ALVAREZ;14.07.1963;S;F;kari25@gmail.com;70000;0;Bachelors;Professional;N
11109;MR.;RUBEN;KAPOOR;5.11.1963;S;M;ruben1@gmail.com;70000;0;Bachelors;Professional;N
11110;MR.;CURTIS;YANG;6.06.1962;M;M;curtis5@gmail.com;60000;1;Partial College;Skilled Manual;Y
11111;MRS.;MEREDITH;GUTIERREZ;23.02.1962;M;F;meredith34@gmail.com;60000;1;Partial College;Skilled Manual;Y
11112;MRS.;CRYSTAL;WANG;9.09.1962;M;F;crystal3@gmail.com;60000;1;Partial College;Skilled Manual;Y
11113;MR.;MICHEAL;BLANCO;21.02.1962;M;M;micheal11@gmail.com;70000;5;Bachelors;Professional;Y
11114;MRS.;LESLIE;MORENO;28.05.1962;S;F;leslie7@gmail.com;70000;5;Partial College;Skilled Manual;Y
11115;MR.;ALVIN;CAI;12.02.1962;M;M;alvin20@gmail.com;70000;5;Partial College;Skilled Manual;Y
11116;MR.;CLINTON;CARLSON;7.10.1962;M;M;clinton14@gmail.com;70000;5;Partial College;Skilled Manual;Y
11117;MRS.;APRIL;DENG;21.02.1961;M;F;april1@gmail.com;70000;5;Partial College;Skilled Manual;Y
11118;MR.;ALVIN;ZENG;3.07.1957;S;M;alvin21@gmail.com;80000;1;Partial College;Skilled Manual;N
11119;MR.;EVAN;JAMES;10.04.1935;S;M;evan8@gmail.com;30000;2;Partial College;Clerical;N
11121;MR.;ORLANDO;SUAREZ;18.11.1960;M;M;orlando19@gmail.com;70000;5;Partial College;Skilled Manual;Y
11122;MR.;BYRON;VAZQUEZ;2.04.1960;M;M;byron9@gmail.com;70000;5;Partial College;Skilled Manual;Y
11123;MR.;PHILIP;ALVAREZ;20.06.1960;M;M;philip4@gmail.com;70000;5;Partial College;Skilled Manual;Y
11124;MR.;ROSS;JORDAN;27.07.1957;S;M;ross1@gmail.com;80000;1;Partial College;Skilled Manual;Y
11125;MRS.;DANA;NAVARRO;8.04.1956;S;F;dana2@gmail.com;70000;1;Partial College;Skilled Manual;Y
11126;MR.;SHAUN;CARSON;7.04.1949;M;M;shaun16@gmail.com;10000;2;High School;Skilled Manual;N
11127;MS.;JAN;EDWARDS;21.10.1975;M;F;jan11@gmail.com;40000;0;High School;Skilled Manual;Y
11128;MS.;SAMANTHA;LONG;5.12.1975;M;F;samantha35@gmail.com;40000;0;High School;Skilled Manual;Y
11129;MS.;JULIA;WRIGHT;5.08.1975;S;F;julia17@gmail.com;40000;0;High School;Skilled Manual;Y
11130;MS.;CAROLINE;RUSSELL;6.01.1980;M;F;caroline21@gmail.com;30000;0;High School;Skilled Manual;Y
11131;MS.;AMANDA;RIVERA;12.03.1980;M;F;amanda7@gmail.com;30000;0;High School;Skilled Manual;N
11132;MS.;MELISSA;RICHARDSON;26.10.1980;S;F;melissa31@gmail.com;30000;0;High School;Skilled Manual;N
11133;MS.;ANGELA;GRIFFIN;8.09.1980;S;F;angela23@gmail.com;30000;0;Partial High School;Clerical;N
11134;MR.;LARRY;TOWNSEND;26.02.1946;S;M;larry14@gmail.com;10000;5;High School;Skilled Manual;Y
11135;MR.;MARCUS;HARRIS;3.11.1979;S;M;marcus14@gmail.com;30000;0;Partial High School;Clerical;N
11136;MS.;BRIANNA;MORGAN;26.10.1978;S;F;brianna30@gmail.com;40000;0;High School;Skilled Manual;N
11137;MS.;JASMINE;TAYLOR;20.07.1978;M;F;jasmine7@gmail.com;40000;0;High School;Skilled Manual;Y
11138;MS.;LAUREN;DAVIS;15.09.1978;M;F;lauren23@gmail.com;40000;0;High School;Skilled Manual;N
11139;MRS.;TANYA;MORENO;9.11.1938;S;F;tanya2@gmail.com;30000;2;Partial College;Clerical;N
11140;MR.;JAVIER;ALVAREZ;11.02.1977;S;M;javier1@gmail.com;30000;0;Partial High School;Clerical;N
11141;MS.;NICOLE;RAMIREZ;21.06.1977;M;F;nicole42@gmail.com;40000;0;High School;Skilled Manual;N
11142;MR.;EDUARDO;PATTERSON;14.08.1977;S;M;eduardo55@gmail.com;40000;0;High School;Skilled Manual;N
11143;MR.;JONATHAN;HENDERSON;4.02.1977;M;M;jonathan4@gmail.com;40000;0;High School;Skilled Manual;Y
11144;MR.;EDWARD;HERNANDEZ;9.09.1979;S;M;edward48@gmail.com;40000;0;High School;Skilled Manual;N
11145;MS.;JASMINE;COLEMAN;8.12.1979;S;F;jasmine46@gmail.com;40000;0;High School;Skilled Manual;N
11146;MRS.;KARLA;GOEL;26.08.1939;S;F;karla20@gmail.com;40000;2;Bachelors;Management;Y
11147;MR.;ERNEST;WU;5.02.1939;M;M;ernest6@gmail.com;60000;2;Graduate Degree;Management;Y
11148;MR.;ROSS;VAZQUEZ;16.08.1941;M;M;ross32@gmail.com;40000;2;Bachelors;Management;Y
11149;MR.;THEODORE;GILL;20.04.1941;M;M;theodore14@gmail.com;40000;2;Bachelors;Management;Y
11150;MR.;RUSSELL;SHEN;15.03.1941;S;M;russell6@gmail.com;40000;2;Bachelors;Management;Y
11151;MRS.;MELINDA;GILL;25.02.1942;S;F;melinda9@gmail.com;60000;2;Graduate Degree;Management;N
11152;MR.;JAMES;WILLIAMS;10.01.1976;S;M;james77@gmail.com;40000;0;High School;Skilled Manual;Y
11153;MS.;ANGELA;JAMES;23.06.1976;M;F;angela34@gmail.com;40000;0;High School;Skilled Manual;Y
11154;MS.;MEGAN;WALKER;21.08.1976;S;F;megan25@gmail.com;40000;0;Partial College;Skilled Manual;Y
11155;MR.;HUNTER;ROBINSON;26.01.1976;S;M;hunter50@gmail.com;40000;0;Partial College;Skilled Manual;N
11156;MS.;MARIA;ROBERTS;7.02.1976;S;F;maria47@gmail.com;40000;0;Partial College;Skilled Manual;N
11157;MS.;HANNAH;LONG;11.06.1975;M;F;hannah32@gmail.com;40000;0;High School;Skilled Manual;Y
11158;MR.;JASON;WRIGHT;8.10.1975;S;M;jason46@gmail.com;40000;0;High School;Skilled Manual;Y
11159;MS.;BRIANNA;HUGHES;17.09.1975;S;F;brianna57@gmail.com;40000;0;High School;Skilled Manual;N
11160;MR.;MAURICE;TANG;8.01.1974;S;M;maurice4@gmail.com;40000;0;Partial College;Skilled Manual;N
11161;MS.;EMILY;WOOD;22.04.1974;S;F;emily27@gmail.com;40000;0;Partial College;Skilled Manual;N
11162;MR.;CHASE;COX;5.03.1974;S;M;chase10@gmail.com;40000;0;Partial College;Skilled Manual;Y
11163;MR.;GABRIEL;WANG;20.12.1974;M;M;gabriel21@gmail.com;40000;0;Partial College;Skilled Manual;Y
11164;MR.;DEVIN;BROOKS;5.05.1974;S;M;devin63@gmail.com;40000;0;Partial College;Skilled Manual;N
11165;MS.;JOCELYN;ALEXANDER;18.07.1973;M;F;jocelyn18@gmail.com;60000;0;Partial College;Skilled Manual;N
11166;MS.;ASHLEY;MARTINEZ;24.04.1972;S;F;ashley18@gmail.com;70000;0;Partial College;Skilled Manual;N
11167;MS.;JASMINE;BARNES;1.08.1972;S;F;jasmine43@gmail.com;80000;0;Bachelors;Management;N
11168;MR.;DAVID;RODRIGUEZ;15.05.1968;S;M;david83@gmail.com;80000;0;Bachelors;Management;N
11169;MR.;BRYCE;RICHARDSON;22.06.1968;M;M;bryce8@gmail.com;90000;4;Bachelors;Management;Y
11170;MRS.;CAROL;HOWARD;5.02.1968;M;F;carol5@gmail.com;90000;4;Bachelors;Management;Y
11171;MR.;JONATHAN;HILL;9.10.1967;S;M;jonathan43@gmail.com;100000;1;Bachelors;Management;Y
11172;MRS.;GABRIELLE;ADAMS;21.11.1967;M;F;gabrielle58@gmail.com;100000;1;Bachelors;Management;Y
11173;MS.;SARAH;THOMAS;1.09.1967;S;F;sarah13@gmail.com;110000;0;Graduate Degree;Management;N
11174;MR.;NICHOLAS;ROBINSON;13.07.1967;M;M;nicholas19@gmail.com;110000;0;Graduate Degree;Management;Y
11175;MR.;LUIS;WANG;5.03.1963;S;M;luis24@gmail.com;70000;0;Partial College;Skilled Manual;Y
11176;MR.;MASON;ROBERTS;25.01.1968;M;M;mason25@gmail.com;90000;4;Bachelors;Management;Y
11177;MR.;JOSE;FLORES;4.07.1942;M;M;jose6@gmail.com;110000;2;Graduate Degree;Management;Y
11178;MR.;NATHAN;JOHNSON;24.08.1943;M;M;nathan55@gmail.com;100000;2;Graduate Degree;Management;Y
11179;MRS.;MOLLY;RODRIGUEZ;14.06.1943;M;F;molly18@gmail.com;120000;2;Graduate Degree;Management;Y
11180;MRS.;APRIL;ANAND;2.01.1943;M;F;april18@gmail.com;160000;1;Bachelors;Management;Y
11181;MR.;DEVIN;MARTIN;8.08.1943;M;M;devin13@gmail.com;170000;2;Graduate Degree;Management;Y
11182;MRS.;STEPHANIE;TORRES;25.08.1944;S;F;stephanie19@gmail.com;70000;4;Bachelors;Management;Y
11183;MRS.;JASMINE;LEE;15.07.1944;S;F;jasmine19@gmail.com;70000;4;Bachelors;Management;Y
11184;MRS.;MEGHAN;HERNANDEZ;16.11.1944;S;F;meghan3@gmail.com;70000;4;Bachelors;Management;Y
11185;MRS.;ASHLEY;HENDERSON;8.10.1944;S;F;ashley31@gmail.com;70000;4;Bachelors;Management;Y
11186;MRS.;SARAH;PRICE;21.05.1944;S;F;sarah25@gmail.com;70000;4;Bachelors;Management;Y
11187;MRS.;JENNIFER;COOPER;22.02.1944;M;F;jennifer63@gmail.com;60000;4;Graduate Degree;Management;Y
11188;MRS.;CATHERINE;MORRIS;6.09.1944;M;F;catherine16@gmail.com;60000;4;Graduate Degree;Management;N
11190;MR.;CARSON;BRYANT;22.06.1944;M;M;carson17@gmail.com;70000;5;Bachelors;Management;Y
11191;MRS.;KRISTI;PEREZ;18.12.1945;S;F;kristi39@gmail.com;70000;5;Bachelors;Management;Y
11192;MR.;JAMES;BROWN;13.09.1945;M;M;james79@gmail.com;60000;4;Bachelors;Management;Y
11193;MR.;IAN;GRAY;13.02.1945;M;M;ian72@gmail.com;60000;4;Bachelors;Management;Y
11194;MRS.;JACQUELINE;PRICE;10.06.1945;M;F;jacqueline0@gmail.com;60000;4;Bachelors;Management;Y
11195;MRS.;MEGAN;HENDERSON;10.02.1946;M;F;megan55@gmail.com;60000;5;Bachelors;Management;Y
11196;MR.;ALFREDO;ROMERO;7.06.1946;M;M;alfredo10@gmail.com;60000;5;Bachelors;Management;Y
11197;MRS.;ANDREA;MORRIS;18.06.1946;M;F;andrea18@gmail.com;70000;3;Bachelors;Management;N
11198;MRS.;BROOKE;SANDERS;26.11.1946;S;F;brooke3@gmail.com;70000;4;Bachelors;Management;Y
11199;MRS.;JACQUELINE;BENNETT;6.11.1946;M;F;jacqueline1@gmail.com;70000;4;Bachelors;Management;Y
11200;MR.;JASON;GRIFFIN;22.11.1947;M;M;jason18@gmail.com;70000;4;Bachelors;Management;Y
11201;MRS.;AMANDA;FOSTER;18.08.1947;M;F;amanda37@gmail.com;70000;4;Bachelors;Management;Y
11202;MRS.;ALEXIA;PRICE;26.08.1947;M;F;alexia0@gmail.com;80000;5;Bachelors;Management;N
11203;MR.;LUIS;DIAZ;21.08.1948;M;M;luis21@gmail.com;40000;2;High School;Professional;Y
11205;MRS.;ABBY;FERNANDEZ;24.07.1948;M;F;abby13@gmail.com;40000;2;High School;Professional;Y
11206;MR.;BLAKE;FLORES;24.09.1948;M;M;blake60@gmail.com;60000;2;Partial College;Professional;Y
11207;MRS.;DANIELLE;COX;19.07.1948;S;F;danielle12@gmail.com;60000;2;Partial College;Professional;Y
11208;MRS.;MARIA;REED;4.02.1948;M;F;maria4@gmail.com;60000;2;Bachelors;Management;Y
11209;MRS.;ALLISON;EVANS;13.01.1948;M;F;allison21@gmail.com;60000;2;Bachelors;Management;Y
11210;MR.;EDWARD;WOOD;8.06.1948;M;M;edward50@gmail.com;70000;4;Partial College;Professional;Y
11211;MRS.;SAMANTHA;RUSSELL;12.10.1949;M;F;samantha42@gmail.com;40000;2;High School;Professional;Y
11212;MRS.;CHLOE;CAMPBELL;5.11.1949;M;F;chloe4@gmail.com;40000;2;High School;Professional;Y
11213;MRS.;STEPHANIE;MURPHY;14.05.1949;S;F;stephanie11@gmail.com;60000;2;Partial College;Professional;Y
11214;MR.;CHARLES;MILLER;7.11.1949;S;M;charles9@gmail.com;60000;2;Partial College;Professional;Y
11215;MRS.;ANA;PERRY;21.06.1950;M;F;ana7@gmail.com;40000;2;Partial High School;Skilled Manual;Y
11216;MRS.;JASMINE;TORRES;20.05.1950;S;F;jasmine32@gmail.com;60000;2;Partial College;Professional;Y
11217;MRS.;NATALIE;ADAMS;11.02.1950;S;F;natalie58@gmail.com;60000;2;Partial College;Professional;Y
11218;MRS.;OLIVIA;BROWN;11.09.1950;S;F;olivia4@gmail.com;60000;2;Partial College;Professional;N
11219;MR.;CHARLES;COOK;2.12.1950;M;M;charles69@gmail.com;60000;2;High School;Professional;Y
11220;MRS.;ERICA;HUANG;23.02.1950;M;F;erica5@gmail.com;60000;2;Partial College;Professional;Y
11221;MR.;NATHAN;PERRY;10.06.1950;M;M;nathan3@gmail.com;70000;4;Partial College;Professional;Y
11222;MRS.;ALEXANDRA;RIVERA;17.08.1950;M;F;alexandra11@gmail.com;80000;3;Bachelors;Management;Y
11223;MRS.;HAILEY;PATTERSON;16.09.1951;S;F;hailey30@gmail.com;70000;2;High School;Professional;Y
11224;MRS.;TIFFANY;LI;6.09.1951;S;F;tiffany3@gmail.com;70000;2;High School;Professional;Y
11226;MRS.;SYDNEY;ROSS;27.09.1951;M;F;sydney26@gmail.com;60000;2;Partial College;Professional;Y
11227;MR.;MARSHALL;CHAVEZ;12.08.1951;S;M;marshall35@gmail.com;60000;2;Partial College;Professional;Y
11228;MRS.;ASHLEY;JONES;19.04.1951;M;F;ashley3@gmail.com;60000;2;Partial College;Professional;Y
11229;MR.;ADRIAN;STEWART;3.12.1951;S;M;adrian21@gmail.com;70000;4;Partial College;Professional;Y
11230;MRS.;AMBER;TURNER;3.04.1951;M;F;amber4@gmail.com;70000;4;Partial College;Professional;N
11231;MR.;DENNIS;ZHANG;14.11.1952;M;M;dennis1@gmail.com;60000;2;High School;Professional;Y
11232;MRS.;HAILEY;BRYANT;27.09.1952;M;F;hailey38@gmail.com;60000;3;High School;Professional;N
11233;MR.;TODD;LI;9.09.1952;M;M;todd5@gmail.com;70000;4;Partial College;Professional;Y
11234;;ANNA;GRIFFIN;19.11.1952;S;NA;anna46@gmail.com;70000;4;Partial College;Professional;Y
11235;MR.;ANGEL;STEWART;8.02.1952;M;M;angel24@gmail.com;70000;4;Partial College;Professional;Y
11236;MR.;JEREMY;BUTLER;5.03.1952;S;M;jeremy29@gmail.com;70000;5;Partial College;Professional;Y
11237;MR.;CLARENCE;ANAND;23.09.1958;S;M;clarence36@gmail.com;130000;2;Bachelors;Management;N
11238;MRS.;MAYRA;PRASAD;10.08.1958;S;F;mayra9@gmail.com;130000;2;Bachelors;Management;N
11239;MRS.;LATOYA;GOEL;6.10.1958;M;F;latoya18@gmail.com;130000;2;Partial College;Professional;N
